2014-10-09 09:30:57,716   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:57,837   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:57,953   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,066   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,181   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,297   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,416   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,516   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:58,964   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,083   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
